AFP | Shares | AFT PHARMACEUTICALS LIMITED | Pharmaceuticals, Biotechnology & Life Sciences | AUD | None | None | 2018-12-24 04:05:47.521428 | 2018-12-24 04:05:47.521428
APT | Shares | AFTERPAY TOUCH GROUP LIMITED | Software & Services | AUD | None | None | 2018-12-24 04:05:47.521442 | 2018-12-24 04:05:47.521442
AGL | Shares | AGL ENERGY LIMITED. | Utilities | AUD | None | None | 2018-12-24 04:05:47.521457 | 2018-12-24 04:05:47.521457
AGJ | Shares | AGRICULTURAL LAND TRUST | Real Estate | AUD | None | None | 2018-12-24 04:05:47.521471 | 2018-12-24 04:05:47.521471
AMN | Shares | AGRIMIN LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521483 | 2018-12-24 04:05:47.521483
AGR | Shares | AGUIA RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521496 | 2018-12-24 04:05:47.521496
AHL | Shares | AHALIFE HOLDINGS LIMITED | Retailing | AUD | None | None | 2018-12-24 04:05:47.521509 | 2018-12-24 04:05:47.521509
A1C | Shares | AIC RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521522 | 2018-12-24 04:05:47.521522
APW | Shares | AIMS PROPERTY SECURITIES FUND | Real Estate | AUD | None | None | 2018-12-24 04:05:47.521535 | 2018-12-24 04:05:47.521535
AGI | Shares | AINSWORTH GAME TECHNOLOGY LIMITED | Consumer Services | AUD | None | None | 2018-12-24 04:05:47.521548 | 2018-12-24 04:05:47.521548
AIZ | Shares | AIR NEW ZEALAND LIMITED | Transportation | AUD | None | None | 2018-12-24 04:05:47.521561 | 2018-12-24 04:05:47.521561
AXP | Shares | AIRXPANDERS, INC. | Health Care Equipment & Services | AUD | None | None | 2018-12-24 04:05:47.521574 | 2018-12-24 04:05:47.521574
AJL | Shares | AJ LUCAS GROUP LIMITED | Capital Goods | AUD | None | None | 2018-12-24 04:05:47.521587 | 2018-12-24 04:05:47.521587
AQG | Shares | ALACER GOLD CORP. | Materials | AUD | None | None | 2018-12-24 04:05:47.521601 | 2018-12-24 04:05:47.521601
AUQ | Shares | ALARA RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521614 | 2018-12-24 04:05:47.521614
ACL | Shares | ALCHEMIA LIMITED | Pharmaceuticals, Biotechnology & Life Sciences | AUD | None | None | 2018-12-24 04:05:47.521627 | 2018-12-24 04:05:47.521627
ALY | Shares | ALCHEMY RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521640 | 2018-12-24 04:05:47.521640
ALC | Shares | ALCIDION GROUP LIMITED | Health Care Equipment & Services | AUD | None | None | 2018-12-24 04:05:47.521654 | 2018-12-24 04:05:47.521654
AL8 | Shares | ALDERAN RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521666 | 2018-12-24 04:05:47.521666
ARN | Shares | ALDORO RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521679 | 2018-12-24 04:05:47.521679
LEP | Shares | ALE PROPERTY GROUP | Real Estate | AUD | None | None | 2018-12-24 04:05:47.521692 | 2018-12-24 04:05:47.521692
AJX | Shares | ALEXIUM INTERNATIONAL GROUP LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521705 | 2018-12-24 04:05:47.521705
AQI | Shares | ALICANTO MINERALS LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521718 | 2018-12-24 04:05:47.521718
AQX | Shares | ALICE QUEEN LIMITED | Energy | AUD | None | None | 2018-12-24 04:05:47.521734 | 2018-12-24 04:05:47.521734
ALK | Shares | ALKANE RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521747 | 2018-12-24 04:05:47.521747
AHQ | Shares | ALLEGIANCE COAL LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521760 | 2018-12-24 04:05:47.521760
AMT | Shares | ALLEGRA ORTHOPAEDICS LIMITED | Health Care Equipment & Services | AUD | None | None | 2018-12-24 04:05:47.521779 | 2018-12-24 04:05:47.521779
AQZ | Shares | ALLIANCE AVIATION SERVICES LIMITED | Transportation | AUD | None | None | 2018-12-24 04:05:47.521793 | 2018-12-24 04:05:47.521793
A40 | Shares | ALLIANCE MINERAL ASSETS LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521806 | 2018-12-24 04:05:47.521806
AGS | Shares | ALLIANCE RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521819 | 2018-12-24 04:05:47.521819
AGE | Shares | ALLIGATOR ENERGY LIMITED | Energy | AUD | None | None | 2018-12-24 04:05:47.521832 | 2018-12-24 04:05:47.521832
AYR | Shares | ALLOY RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521845 | 2018-12-24 04:05:47.521845
A4N | Shares | ALPHA HPA LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521857 | 2018-12-24 04:05:47.521857
ALQ | Shares | ALS LIMITED | Commercial & Professional Services | AUD | None | None | 2018-12-24 04:05:47.521871 | 2018-12-24 04:05:47.521871
ARS | Shares | ALT RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521883 | 2018-12-24 04:05:47.521883
AZI | Shares | ALTA ZINC LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521896 | 2018-12-24 04:05:47.521896
ATC | Shares | ALTECH CHEMICALS LTD | Materials | AUD | None | None | 2018-12-24 04:05:47.521909 | 2018-12-24 04:05:47.521909
AIQ | Shares | ALTERNATIVE INVESTMENT TRUST | Not Applic | AUD | None | None | 2018-12-24 04:05:47.521922 | 2018-12-24 04:05:47.521922
1AG | Shares | ALTERRA LIMITED | Commercial & Professional Services | AUD | None | None | 2018-12-24 04:05:47.521935 | 2018-12-24 04:05:47.521935
AGH | Shares | ALTHEA GROUP HOLDINGS LIMITED | Pharmaceuticals, Biotechnology & Life Sciences | AUD | None | None | 2018-12-24 04:05:47.521949 | 2018-12-24 04:05:47.521949
ALU | Shares | ALTIUM LIMITED | Software & Services | AUD | None | None | 2018-12-24 04:05:47.521962 | 2018-12-24 04:05:47.521962
AME | Shares | ALTO METALS LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521975 | 2018-12-24 04:05:47.521975
AJM | Shares | ALTURA MINING LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.521991 | 2018-12-24 04:05:47.521991
AWC | Shares | ALUMINA LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522004 | 2018-12-24 04:05:47.522004
AMA | Shares | AMA GROUP LIMITED | Retailing | AUD | None | None | 2018-12-24 04:05:47.522016 | 2018-12-24 04:05:47.522016
ANL | Shares | AMANI GOLD LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522029 | 2018-12-24 04:05:47.522029
AYS | Shares | AMAYSIM AUSTRALIA LIMITED | Communication Services | AUD | None | None | 2018-12-24 04:05:47.522042 | 2018-12-24 04:05:47.522042
AMO | Shares | AMBERTECH LIMITED | Technology Hardware & Equipment | AUD | None | None | 2018-12-24 04:05:47.522057 | 2018-12-24 04:05:47.522057
AMB | Shares | AMBITION GROUP LIMITED | Commercial & Professional Services | AUD | None | None | 2018-12-24 04:05:47.522070 | 2018-12-24 04:05:47.522070
AMH | Shares | AMCIL LIMITED | Diversified Financials | AUD | None | None | 2018-12-24 04:05:47.522086 | 2018-12-24 04:05:47.522086
AMC | Shares | AMCOR LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522099 | 2018-12-24 04:05:47.522099
ABR | Shares | AMERICAN PACIFIC BORATE & LITHIUM LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522112 | 2018-12-24 04:05:47.522112
AOW | Shares | AMERICAN PATRIOT OIL & GAS LIMITED | Energy | AUD | None | None | 2018-12-24 04:05:47.522125 | 2018-12-24 04:05:47.522125
AMP | Shares | AMP LIMITED | Insurance | AUD | None | None | 2018-12-24 04:05:47.522138 | 2018-12-24 04:05:47.522138
ATX | Shares | AMPLIA THERAPEUTICS LIMITED | Pharmaceuticals, Biotechnology & Life Sciences | AUD | None | None | 2018-12-24 04:05:47.522152 | 2018-12-24 04:05:47.522152
ANQ | Shares | ANAECO LIMITED | Commercial & Professional Services | AUD | None | None | 2018-12-24 04:05:47.522165 | 2018-12-24 04:05:47.522165
ALT | Shares | ANALYTICA LIMITED | Health Care Equipment & Services | AUD | None | None | 2018-12-24 04:05:47.522178 | 2018-12-24 04:05:47.522178
ANR | Shares | ANATARA LIFESCIENCES LTD | Pharmaceuticals, Biotechnology & Life Sciences | AUD | None | None | 2018-12-24 04:05:47.522192 | 2018-12-24 04:05:47.522192
AHR | Shares | ANCHOR RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522209 | 2018-12-24 04:05:47.522209
ADN | Shares | ANDROMEDA METALS LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522222 | 2018-12-24 04:05:47.522222
ATM | Shares | ANEKA TAMBANG (PERSERO) TBK (PT) | Materials | AUD | None | None | 2018-12-24 04:05:47.522235 | 2018-12-24 04:05:47.522235
AS1 | Shares | ANGEL SEAFOOD HOLDINGS LTD | Food, Beverage & Tobacco | AUD | None | None | 2018-12-24 04:05:47.522251 | 2018-12-24 04:05:47.522251
AQM | Shares | ANGLO AMERICAN CAPITAL PLC | Not Applic | AUD | None | None | 2018-12-24 04:05:47.522265 | 2018-12-24 04:05:47.522265
AAR | Shares | ANGLO AUSTRALIAN RESOURCES NL | Materials | AUD | None | None | 2018-12-24 04:05:47.522278 | 2018-12-24 04:05:47.522278
AGG | Shares | ANGLOGOLD ASHANTI LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522291 | 2018-12-24 04:05:47.522291
AB1 | Shares | ANIMOCA BRANDS CORPORATION LIMITED | Media & Entertainment | AUD | None | None | 2018-12-24 04:05:47.522304 | 2018-12-24 04:05:47.522304
AWV | Shares | ANOVA METALS LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522317 | 2018-12-24 04:05:47.522317
ANN | Shares | ANSELL LIMITED | Health Care Equipment & Services | AUD | None | None | 2018-12-24 04:05:47.522331 | 2018-12-24 04:05:47.522331
